line,data,higher
142,0.780144033,
144,0.780144033,
151,0.780144033,
152,0.780144033,
163,0.780144033,
165,0.780144033,
167,0.780144033,
168,0.780144033,
175,0.780144033,
178,0.780144033,
179,0.780144033,
181,0.780144033,
185,0.780144033,
186,0.780144033,
187,0.780144033,
193,0.780144033,
195,0.780144033,
197,0.780144033,
198,0.780144033,
200,0.780144033,
201,0.780144033,
203,0.780144033,
211,0.780144033,
212,0.780144033,
213,0.780144033,
222,0.780144033,
224,0.780144033,
225,0.780144033,
226,0.780144033,
231,0.780144033,
238,0.780144033,
241,0.780144033,
243,0.780144033,
244,0.780144033,
249,0.780144033,
250,0.780144033,
252,0.780144033,
253,0.780144033,
255,0.780144033,
256,0.780144033,
265,0.780144033,
280,0.780144033,
281,0.780144033,
283,0.780144033,
288,0.780144033,
290,0.780144033,
292,0.780144033,
293,0.780144033,
297,0.780144033,
301,0.780144033,
302,0.780144033,
303,0.780144033,
308,0.780144033,
313,0.780144033,
315,0.780144033,
316,0.780144033,
319,0.780144033,
326,0.780144033,
336,0.780144033,
339,0.780144033,
340,0.780144033,
341,0.780144033,
345,0.780144033,
347,0.780144033,
351,0.780144033,
366,0.780144033,
373,0.780144033,
374,0.780144033,
378,0.780144033,
379,0.780144033,
383,0.780144033,
385,0.780144033,
387,0.780144033,
388,0.780144033,
389,0.780144033,
390,0.780144033,
393,0.780144033,
395,0.780144033,
399,0.780144033,
400,0.780144033,
403,0.780144033,
410,0.780144033,
412,0.780144033,
416,0.780144033,
419,0.780144033,
423,0.780144033,
431,0.780144033,
446,0.780144033,
447,0.780144033,
448,0.780144033,
452,0.780144033,
2,0.780131633,
160,0.780131633,
98,0.780126524,
116,0.780126524,
124,0.780126524,
173,0.780126524,
182,0.780126524,
261,0.780126524,
304,0.780126524,
335,0.780126524,
406,0.780126524,
360,0.780124351,
147,0.780121412,
176,0.780121412,
237,0.780121412,
258,0.780121412,
278,0.780121412,
289,0.780121412,
314,0.780121412,
322,0.780121412,
323,0.780121412,
354,0.780121412,
355,0.780121412,
421,0.780121412,
435,0.780121412,
450,0.780121412,
375,0.780119243,
13,0.780103904,
25,0.780103904,
41,0.780103904,
44,0.780103904,
45,0.780103904,
81,0.780103904,
108,0.780103904,
137,0.780103904,
145,0.780103904,
157,0.780103904,
194,0.780103904,
214,0.780103904,
242,0.780103904,
269,0.780103904,
276,0.780103904,
332,0.780103904,
350,0.780103904,
394,0.780103904,
398,0.780103904,
401,0.780103904,
424,0.780103904,
444,0.780103904,
30,0.780098786,
55,0.780098786,
306,0.780098786,
437,0.780098786,
285,0.780091521,
196,0.780086402,
206,0.780086402,
299,0.780086402,
15,0.78008128,
38,0.78008128,
74,0.78008128,
75,0.78008128,
120,0.78008128,
129,0.78008128,
138,0.78008128,
141,0.78008128,
146,0.78008128,
161,0.78008128,
171,0.78008128,
174,0.78008128,
205,0.78008128,
221,0.78008128,
232,0.78008128,
236,0.78008128,
240,0.78008128,
259,0.78008128,
275,0.78008128,
282,0.78008128,
294,0.78008128,
324,0.78008128,
346,0.78008128,
348,0.78008128,
396,0.78008128,
407,0.78008128,
409,0.78008128,
430,0.78008128,
439,0.78008128,
442,0.78008128,
114,0.780076155,
184,0.780074028,
36,0.780068905,
97,0.780068905,
17,0.780063779,
42,0.780063779,
317,0.780063779,
333,0.780063779,
337,0.780063779,
367,0.780063779,
391,0.780063779,
434,0.780063779,
39,0.780058651,
53,0.780058651,
68,0.780046284,
352,0.780046284,
66,0.780041152,
94,0.780041152,
273,0.780041152,
312,0.780041152,
356,0.780041152,
365,0.780041152,
371,0.780041152,
436,0.780041152,
117,0.780036017,
9,0.780023659,
31,0.780023659,
64,0.780023659,
325,0.780023659,
1,0.78001852,
56,0.78001852,
80,0.78001852,
105,0.78001852,
150,0.78001852,
223,0.78001852,
311,0.78001852,
353,0.78001852,
381,0.78001852,
154,0.780013379,
170,0.780001029,
310,0.780001029,
361,0.780001029,
449,0.780001029,
180,0.779983542,
246,0.779983542,
284,0.779978394,
89,0.779955754,
57,0.77994343,
264,0.779915629,
78,0.779910462,
270,0.779892982,
277,0.779892982,
262,0.77987033,
331,0.779830203,
191,0.779805666,
235,0.779795278,
309,0.77979008,
349,0.77979008,
358,0.77978488,
386,0.779767418,
451,0.779765895,
338,0.779704626,
362,0.779676722,
415,0.779603399,
134,0.779579023,
433,0.77951094,
133,0.779458681,
343,0.779448105,
334,0.779446559,
307,0.779378473,
239,0.779287626,
52,0.779247517,
148,0.779219442,
216,0.779184682,
300,0.779184682,
320,0.77908712,
219,0.779064382,
420,0.779053602,
440,0.778787566,
149,0.778750129,
159,0.77815559,
83,0.776957621,
272,0.776913167,
453,0.776511832,
35,0.776408723,
14,0.775619558,
248,0.77460416,
210,0.772649395,
427,0.772235172,
286,0.772062245,
100,0.771835361,
330,0.771576227,
298,0.77072365,
62,0.770318021,
296,0.769613174,
376,0.76940592,
368,0.76911141,
369,0.768894441,
93,0.768777462,
254,0.755391954,
125,0.754497908,
432,0.742836341,
166,0.742716153,
425,0.737402488,
,0,
