line,data,higher
5,0.794612457,5
405,0.781726928,405
377,0.78110883,377
230,0.780983674,230
43,0.780976864,43
344,0.780618281,344
251,0.780550553,251
429,0.780550553,429
26,0.780547987,26
153,0.780505378,153
158,0.780495324,158
84,0.780457701,84
60,0.780452675,60
51,0.7804502,51
202,0.780417567,202
227,0.780405058,227
229,0.780405058,229
29,0.78039498,29
155,0.78039498,155
328,0.78039498,328
37,0.780349794,37
183,0.780342364,183
209,0.780332253,209
414,0.780332253,414
95,0.780327194,95
199,0.780327194,199
245,0.780327194,245
207,0.780314718,207
86,0.780309655,86
287,0.780309655,287
327,0.780304589,327
402,0.780304589,402
101,0.780289795,101
18,0.780287052,18
215,0.780287052,215
268,0.780287052,268
156,0.780279663,156
263,0.78026952,263
291,0.78026952,291
357,0.78026952,357
28,0.780259366,28
162,0.780251993,162
305,0.780251993,305
392,0.780251993,392
111,0.780246914,111
233,0.780246914,233
443,0.780246914,443
445,0.780246914,445
274,0.780241832,274
192,0.780239552,192
46,0.780229388,46
131,0.780229388,131
188,0.780229388,188
260,0.780229388,260
267,0.780229388,267
279,0.780229388,279
364,0.780229388,364
384,0.780229388,384
413,0.780229388,413
104,0.780224303,104
218,0.780224303,218
247,0.780224303,247
271,0.780224303,271
342,0.780224303,342
228,0.780211869,228
257,0.780211869,257
20,0.780206779,20
48,0.780206779,48
67,0.780206779,67
82,0.780206779,82
103,0.780206779,103
172,0.780206779,172
189,0.780206779,189
234,0.780206779,234
370,0.780206779,370
382,0.780206779,382
417,0.780206779,417
418,0.780206779,418
422,0.780206779,422
426,0.780206779,426
72,0.780201688,72
204,0.780201688,204
380,0.780201688,380
47,0.780189261,47
217,0.780189261,217
438,0.780189261,438
6,0.780184166,6
11,0.780184166,11
23,0.780184166,23
24,0.780184166,24
32,0.780184166,32
58,0.780184166,58
61,0.780184166,61
92,0.780184166,92
99,0.780184166,99
121,0.780184166,121
130,0.780184166,130
136,0.780184166,136
164,0.780184166,164
169,0.780184166,169
318,0.780184166,318
321,0.780184166,321
329,0.780184166,329
397,0.780184166,397
404,0.780184166,404
408,0.780184166,408
411,0.780184166,411
3,0.780179068,3
8,0.78016665,8
69,0.78016665,69
107,0.78016665,107
109,0.78016665,109
113,0.78016665,113
143,0.78016665,143
177,0.78016665,177
190,0.78016665,190
208,0.78016665,208
220,0.78016665,220
266,0.78016665,266
295,0.78016665,295
363,0.78016665,363
16,0.780161548,16
63,0.780161548,63
140,0.780161548,140
359,0.780161548,359
428,0.780161548,428
454,0.780161548,454
372,0.780149139,372
441,0.780149139,441
0,0.780144033,
4,0.780144033,
7,0.780144033,
10,0.780144033,
12,0.780144033,
19,0.780144033,
21,0.780144033,
22,0.780144033,
27,0.780144033,
33,0.780144033,
34,0.780144033,
40,0.780144033,
49,0.780144033,
50,0.780144033,
54,0.780144033,
59,0.780144033,
65,0.780144033,
70,0.780144033,
71,0.780144033,
73,0.780144033,
76,0.780144033,
77,0.780144033,
79,0.780144033,
85,0.780144033,
87,0.780144033,
88,0.780144033,
90,0.780144033,
91,0.780144033,
96,0.780144033,
102,0.780144033,
106,0.780144033,
110,0.780144033,
112,0.780144033,
115,0.780144033,
118,0.780144033,
119,0.780144033,
122,0.780144033,
123,0.780144033,
126,0.780144033,
127,0.780144033,
128,0.780144033,
132,0.780144033,
135,0.780144033,
139,0.780144033,
